Sentimen;Text
Positif;semangat berjuang turunin berat badan 
Negatif;terkadang diet menemukan titik jenuhnyaudah diet olah badan tetep turun bikin stres batal diet 
Positif;orang gemuk terys kurus cela 
Positif;emang kegendutan kekurusan hrus ideal biar sehat diet hbis lahiran semangat sembunyi dibalik pede liat gendut banget kurus sehat motivasi banget 
Positif;mbaaq diet sehat dengerin komentar orangalhamdulillahcuek ktmu langsingmlh nanya 
positif;nonton olah raga 
positif;sempet kepikiran bdan 
Positif;terima kasih motivasi vindi semangat turunin 
Positif;ngeliat dokumentasi olahraga vindi berat banget sampr nyesel kayak gitu orang ngira turun karna skip makan doang berat perjuangan turunin 
Negatif;makan hati badan 
Positif;sumpahh kasih motivasi 
Positif;menetes mata plng kmpung krna badan gemuk malu 
positif;tany aturan mkanny 
negatif;umur bully gendat gendut mulu tetangga gedek kalo suka katain gendat gendut mulu 
Positif;motivasi semgt utuk berubah dith tunjukan berubah 
Negatif;astaga makan kali sehari gendut 
Positif;kurus gemuk bkan krna faktor makan nasi kali sehari ngemil 
Positif;telat haid dokter kandungan disarankan diet semangat kayak thanks 
Negatif;pcos mbaakk aware 
Positif;alhamdulillah rutin olahraga turun 
Positif;pingin diet 
Positif;pingin diet 
Negatif;gemuk hormon gimna 
positif;tiktok mashaallah 
Positif;beruntung suka nasi putih minuman manis tetep gendut olahraga 
Positif;suka minum manis makan nasi putih sehari makan nasi putih ngemil masuk 
Positif;masya allahmbake semangat ikhtiarnya 
Positif;kepingin diet gagal 
Positif;semangat kurus 
negatif;mksudnya diet mayo 
Negatif;banget turun 
Positif;coba ganti sarapan pagi makan malamnya nutrisi sehat 
negatif;mbak kipin modelnya 
Negatif;pengen diet 
Positif;iyha liat kaya mbatin diet keliatan bedanya sakiiiiiit 
Positif;iyaa kayak langsung nyelekit hati 
Positif;menikah stelah skrg diet rendah lemak gulakarbo bismillah semoga tutun mnjadi ideal 
Negatif;okesmg menju ideal 
Positif;skrg sblm nikah skrg stuck turun ngemil berthan 
Negatif;nyobak diet kakkarna bnyk banget 
positif;ehhhh vindiyeeyyyyy 
Negatif;semangatt turunin berat badan 
Positif;alhamdulillah udah turun kyknya lambat 
Positif;banget sprti diet lakukn sekrang sekrng target krna 
Negatif;bener banget mbak 
Negatif;kakdulu turun kgtrs khilaf kgnyesel 
Positif;samadalam kemarin turun kgdr berat trus karna maksain sampe jatuh sakitkebetulan gejala magh asam lambungjadi sakit minggu karna makan muntah sakit lost kgsekarang alhamdulillah sehatjadi diet lagitapi maksaain lagisaya makan pagi keatastrus makan nasi dikurangin sayur masi makan kayak menu sehat gtumakan dikuranginktrus berhenti makancuman minum ajasampe besok lagiuntuk olah raga jalan pagi gula gorenga masi makan jarang jujur serba salah karna disatu sisi pengen kurus sehattapi sisi resiko kalo diet ketat versi sayahehehetapi semoga kedepan semangat turunin berat badansalam sehat semuasemangaaaat 
positif;lhoo mashaallah 
Positif;haid tratur gadis karna ngerti cuek karna gatau brakibat bruk nikah sampe setaun kasi keturunan haid gatratur bkin subur sampe skrg hamil karna sehat olahraga trus 
Positif;coba nntn youtube yulia baltschun kalo 
Positif;sblum nikah stelah nikah anak 
Positif;semangat tubuh tubuh sehat atur pola makan sehat tubuh ideal ngehampirin 
negatif;mbak tedjo solutip hehehe 
Positif;bener banget macem diet hasilnya turun kebanyakan naiknya drastis banget diet defisit kalori enjoy turun sehatnya dapet alhamdulillah udah turun baju udah longgaran 
Positif;terimakasih berbagi 
Positif;masya allah terimakasih 
Positif;diet april sampe turun 
Positif;brapa kilo kakbagi tips 
Positif;anak sekolah menengah tbku sempet masuk sekelas gemuk korban bullying ngga peduli orang pola makan melebihi porsi semenjak pengen glow insecure foto temen bagus memutuskan diet olahraga emang berat ampe nyerah inget bully temen kuncinya konsisten jalanin finally skrng udah pengen kurusin stabil hehe semangat temen seperjuangan berat usaha ngga menghianati hasil intinya konsisten fighting 
Positif;badan puji kalo temen bagus badannya kayak tentara sekolah penerbangan cuman insecurenya toko kemana bilang umur 
Positif;memotivasi banget vindi semoga perjuanganku 
Positif;akuuuuu semenjak minum detoxtea galaper gitu turunnnn hihihi 
Negatif;akuuu udah turun gess 
Negatif;gimna nahanin berhasil 
Positif;dirmu haid lancarkah 
Positif;semangat temendulu omongin tetangga karna mash badan ibutapi alhamdulillah dewasa berat badan idealaku diet berat cuman ngurangin porsi makan ajah alhamdulillah berat badan turunsing niat konsisten semangat 
positif;samaaaa
Positif;makasih motivasinya 
positif;gedut skrngdiet donggendut sehtkdang terucap orng terdekat kitasadis itubru kmrn alami 
Positif;jùga bilang sodara gemuk awas kalo gemuk gitu suami suka banding kesel banget bilang gitu 
Positif;udah nikah gemuk 
Positif;jadikan motivasi sakit hati 
Positif;iyaa bener kakkemarin suami ngomong gitu 
Negatif;pengen turun skrg 
Positif;semangat mbaaq diet berat nyampe kgdah kayak bola pede ketemu 
Negatif;tahuu kesini udah ideall 
positif;vindkipinpanutanqueee
Positif;pingin kurus ribet gimana 
Positif;sedot lemak 
Negatif;klau ganguan lambung diet diet berhasil makanan diet 
Positif;kurangin makanan manis manis minuman manis 
Positif;sumpah bully parah bikin nangis nurunin menurutku udah bagus susah nyeletuk ngomong akudiet sebulan turun minimal bulankamu berhasilbla allah kadang mikir pingin makan nyesek ngomong keluargaaku malas kumpul keluarga lagidulu sampe muntahin kunyahalhamdulillah sampe 
Positif;pedulikan omongan semangat ingt diet sehtlangsing nilai plusnya 
Negatif;kayak berhasil nurunin pokus hidup sehat ngejar namanya ideal 
Positif;pola makannya mbaa 
Positif;ngena banget bikin termotivasi banget makasihhhhhh 
positif;yukkk semangattt kitaa 
Positif;ngikutin senam skwad fitnes allhamdulillah semangat huhu 
positif;halo mistiati 
positif;sekota iniiii findyy 
Negatif;olahraga pagi sore 
Positif;olahraga pagi hehe bantu 
Negatif;banget malem makan berat 
Positif;atur makan 
Positif;semangat kaka 
Positif;ketahuan suami selingkuh turun berat badanya seminggudari 
negatif;bayangin makan 
positif;dietmencintai
Positif;ngalamin maret berat katain kurus badan pnya anak pdhal anak katain badan hordeng jogging aerobik april november udah berat ktmu mrka puji jatuhin trllu kurus minum obat diet mgkn mnum obat diet olhrga doang pnya asam lambung mnum plangsing cape dgrin omongan smangat pejuang diet skrg mudah 
Positif;pola mknx 
Positif;ngikutin senam chanel 
Positif;maaf mengurangi gorengan tetep makan gorengan walapun 
Negatif;normal makan goreng goreng 
Negatif;sehari olahraga kali 
Negatif;anjiiirrrrr banget 
Negatif;susah konsisten 
Negatif;sedih banget sadar timbangan nganan 
negatif;diet susah 
Negatif;diet turun senengku bangetttt 
Positif;yaalloh pengen turunin kilo susaaah semangat mbaknya bismillah target permanen 
Positif;semangat diet bareng biar sharing 
Positif;semangat bareng diet biar sharing 
Positif;pertengahan memutuskan merubah gaya hidup sehat sehat subscribe channel bersyukur banget konsisten setahun dikit makasih udah motivasi unutk 
positif;semangatt pngen konsistennya 
negatif;mbak vindhyyyy 
positif;dance tiktok part 
Negatif;turun segitu bnyk diet 
Negatif;barengi olah raga teratur insyaallah mbak 
Negatif;konsisten bosen 
Negatif;diet minum kopi hitam gulanya 
Positif;kaktanpa gula 
Positif;vindhiiii keren euyyy 
Negatif;berat badan 
Positif;pagi sarapan diet bareng biar sharing 
Positif;semoga vindi turun berat badan 
Positif;keren banget bener banget 
Negatif;bener banget ranay 
Positif;lingkungan berbanding terbalik keteguhan mental selamat berhasil melewatinya 
Positif;goals banget glow mimin pengin 
Positif;pengin pake banget biar sehat dikatain sodara mudik 
Positif;pagi sobat diet blan skrang skitar blan turun klihatan kcil bgian gimna sobat penge ngecilin bgian perut paha umur hmpir kpala anak 
Positif;kenal kaka grgr liat trus suka scroll ignya 
negatif;jugapengen diet 
Positif;aamiiin semangat 
Negatif;banget gagal diet 
Positif;semangat azza 
Positif;memotivasi bangett 
Positif;semangat hughes 
positif;congratee tedjo 
Positif;trima kasiha inspirasinya nonton skawat fitnes olah raga wourt kout instrukturnya ajeng nonton diet artis skwt 
Positif;terima kasih membalas komentar 
Positif;semangat
negatif;waalaikumsalam bantu mbak 
Positif;bener banget allah ucapan ngomong kalimat 
Positif;hehe semangat luthfiana 
Positif;nanya malam minum putih bikin gendut 
Positif;putih kalori 
positif;uwuuuuu mbaa vindhyy 
Positif;diet sayang maag sayang trus makan nambah gemuk 
Negatif;haahhh sehari makan 
Positif;semangat usaha menghianati hasil 
Positif;kebalik hasil ngga menghianati usaha hasil berusaha hasil cepet usahanya maksimalin hehe 
positif;bakar kalorinya puput 
Positif;proud luvv lupa tempe tepung nasi boncabe teri malam wkwkw 
Negatif;keliatan mudan bangett 
Positif;semangad yokkk pejuang hidup sehat inget kali ubah mindset 
Positif;semangat nurunin berat badan kena bullying berat badan 
Positif;udah titik perduli katain berusaha diet berharap banget turun omongan orang perduli 
Positif;selamat vindi sukses diet proses diet jalan sebulan turun kilo diet kulakukan diet menyiksa bener diet enjoy 
positif;woww hebat 
positif;ayolah mampir channelku 
Positif;target turun semqngat wemoga berhasill 
Positif;skrg gimana 
Positif;semangat turun 
Positif;ngerespon orang suka bully kaya orang ngomong orangnya 
Positif;pagi biar nyenyak tidur intermitten fasting defisit kalori dikontrol mikronutrien karbo lemak protein santapga minggu turun 
Positif;karna pagi beberes rumah 
Negatif;tnggi bdan berat ideal segitu 
Negatif;berat badan 
Positif;pengen paha lengen perut lbih 
Positif;perut olahraga tutorial ngecilin perut bikin otot perut 
positif;wahh motivatorku mahhh pelit bales chatt 
negatif;semangatin japri pgin diet 
Positif;haloooo teman onlineku sabar nunggu balesan love 
Positif;pagi setel chanel senam seri aerobik diulang rutin menitan alhamdulillh berat badan turun barengin pola makanan semangatt pejuang sehat yukkk 
Negatif;diettp hawanya laper mkan trstrs 
positif;waow bnran sayyy 
Negatif;terua pola makannya gimana share donk 
positif;iringi olah raga instrktur senam teman senam umurnya dalan 
Positif;siskrn metabolisme usia menurun turun gampangttp diet hidup sehat insyaallah kesabaran mencapai ideal 
Positif;huhu bismillah lagii usaha diet semoga turun minimal nyaa pendek kayak keliatan gendut nyaa makasihh ngemotivasi 
Negatif;udah turun kilo kilo huhuuu 
Negatif;bener banget 
Negatif;januari sekrg trus stag turun kasi solusi donk mbak 
negatif;cheating mbak 
Negatif;coba gizi rusakin diet 
Positif;masyaa alloh hebaaat 
Positif;ttep semangat pejuaang dieet bisaaa 
Positif;yupp bisaaa ayooo berjuang 
Positif;terharu bangt ceritanyaaa semangaat kakaakk 
Positif;thank mega semangat yaaa mega 
Positif;serbasaalah gemuk komen kurus komen huhu buliying mental down 
Positif;smangat syang 
Positif;intinya badan gemuk kurus atur pola makan jagan olahraga biar sehat 
Positif;pikirin komentar orang mengejar sehat mengejar pujian orang udah turun cerita temen ditanggapinnya keliatan perubahannya diriku putus banget ampun turun dibilang perubahan skrg udah motivasinya menjaga tubuh dikaruniakan allah santai dibilangin gitu berkilogram langsing belom keliatan sabar konsisten kalo motivasi pujian kezzel kalo udah usaha keras dipuji kalo motivasinya menghargai pemberian allah tubuh kesehatan bullyan komenan orang putus semangat yaaa 
Negatif;gara kenalll mbaknnya 
positif;yeay halo nancy 
Positif;bismillahirrahmanirrahim smoga diet berhasil 
Positif;aamiinn semoga berhasil ratna 
Positif;jempol pejuang sehat bismillah yukk berjuang 
Positif;bismillah allah pengen sehat 
Positif;semangat
Positif;pola makan olahraga turun kerja rumah males gerak makan terkontrol hitungan 
Positif;sebulan agenda diet olga 
Positif;pantengin skwad fitness 
Positif;yess tujuan utama kesehatan mengubah pola makan pola hidup semangatttt yukkkk 
Negatif;bener banget semangatt 
Positif;semangat bismillah diet 
Negatif;tinggiku nurunin semenjak lockdown embem 
Positif;semangat intan 
Positif;aamiin semangat bareng dietada biar sharing jalin silahturahmi asik 
Positif;aamiinn semangat yeni 
Positif;semangat pejuang diet semoga kaya vindi 
Positif;semoga berat badan turun amin 
Positif;semangaaaaar bismillah 
Positif;semangat fitskwad semuanyaa 
Negatif;pengen banget diet susah ngejalaninya 
Positif;belajar bareng skwad fitness 
Positif;berusaha skrg 
positif;semangaat bunda alby 
Positif;nyimak berjuang sehat 
Positif;yeay pantengin skwad fitness 
positif;seleb tiktok hyung 
Positif;makasih hyung 
positif;hadir nyimak 
Positif;aamiinn semangat alexa 
Positif;first komen 
positif;yeay halo first 
